Ticker,Quant_Score
HCA,0.6065611587690832
MCK,0.6064989993281895
HBAN,0.6041646440396774
ABBV,0.6034454688983037
LMT,0.603236479166314
ELV,0.602944930664383
WAT,0.6024045354511911
A,0.6009009685046912
HAS,0.600574592535111
LULU,0.6000259991007673
TGT,0.5998951417226047
QCOM,0.5987975172780208
CRL,0.5986742907205257
STLD,0.5981271434324719
AMZN,0.5972765368403492
SNPS,0.5972519161424651
MPWR,0.5963203281123852
WELL,0.5948967577603402
KKR,0.5943381848194398
BF-B,0.593725033280941
MKTX,0.5937104355129762
ETN,0.5929149471767956
TPL,0.5915208098732051
USB,0.5851656352354402
CMG,0.5844236528911869
ARE,0.5841555400963809
SCHW,0.5833522701890523
FANG,0.581774828596905
ED,0.5817685994273457
IQV,0.5810289825981843
ADI,0.5804489301025675
CNP,0.580351937097078
CZR,0.5793938861550012
SWKS,0.5790712139134023
FAST,0.5770421710187492
APA,0.5766870244745108
FTNT,0.5766250900996758
CAT,0.5739614173765022
HII,0.573559957519429
CFG,0.5735345770547623
COF,0.5732605394701406
SWK,0.5709554873345974
GRMN,0.5708413602202058
VLO,0.5702915809092441
KMX,0.5684540244558666
DXCM,0.5673573759799813
EFX,0.5671616431994211
TECH,0.5670273603062257
NUE,0.5655894347304623
INTC,0.5652497080614423
NXPI,0.5645539468095618
BSX,0.5636796103107086
COIN,0.563467371094526
DLTR,0.5629286792880807
ACGL,0.5611156868525028
BA,0.5601879018649093
VTR,0.5599809502525521
WBD,0.5561541171145669
AKAM,0.5535860288067941
MGM,0.5534740439994754
APTV,0.5513351118007693
ERIE,0.5509953573413587
ABNB,0.5509728162428711
FFIV,0.5509430609434584
LW,0.5494089572806776
SBAC,0.548886302342692
MTB,0.5488179338939411
BKNG,0.547892141007981
PCG,0.5470317514716212
CTRA,0.5460144082459945
CBRE,0.5459344507783368
PNC,0.5458450976100283
AMGN,0.543636675446605
UHS,0.5433269154111305
LYB,0.5424902741029888
ULTA,0.5419226942190108
ETR,0.5405675069685623
EIX,0.5388247283060782
IRM,0.5377464068019675
GDDY,0.5371939870940933
CAH,0.5359941856201171
TXN,0.5349568610129483
PTC,0.5339682904501651
GWW,0.5322730750165223
CMI,0.5320139835351031
LEN,0.5315508657082204
DVN,0.5314025438560163
EMR,0.5270345355827218
ROST,0.5266202555832379
DD,0.5255392788568078
PGR,0.5241990238621126
MOS,0.5233332292959889
CB,0.5232849613879957
PH,0.5232725251661988
WM,0.5218687305023126
FOX,0.5217647343744235
BXP,0.5212257980774002
RF,0.5199045082544086
CTAS,0.5197963263798862
CHRW,0.5196479701047179
ALB,0.5193002556164158
IP,0.5192743830293839
COST,0.5156520501559757
DG,0.5149023344635463
T,0.5134008355637756
FOXA,0.511816505635661
SBUX,0.5116206147809456
LKQ,0.5103858357616243
MPC,0.5094733758297826
AMT,0.5082627533363712
TTWO,0.5078911501450606
TT,0.5076263874208571
CPAY,0.505800158389589
TDG,0.5055034413943623
LUV,0.5050708022109253
BLK,0.5047175851081576
INTU,0.5040432099097958
CCI,0.5031845888380502
TRMB,0.5029285578414846
CHTR,0.5022105582019607
CF,0.500618297261538
MSFT,0.49992823594504454
RVTY,0.49980184425413077
LDOS,0.49963488819839913
HUBB,0.4986269407533757
XOM,0.49813055526527233
HLT,0.49730299497855296
RTX,0.4972132049294219
CSGP,0.4971482946827267
FIS,0.496851205193561
SPG,0.49675873993135705
VRSN,0.495560197472304
DPZ,0.4942595396950844
CPRT,0.4936019559264739
AWK,0.49350687528713727
TJX,0.4930218875380789
HAL,0.49216234000600506
WYNN,0.4909098366917774
COR,0.49046012037735015
SYK,0.48889973561862127
BKR,0.48854375444420123
ADSK,0.4871089634367365
KEYS,0.485649613825531
PAYC,0.48461346749898027
